"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2014","633.91","643.43","643.90","633.91","","-1.40%"
"07/07/2014","642.88","648.31","648.69","642.63","","-0.90%"
"07/04/2014","648.75","650.61","650.61","648.75","","-0.28%"
"07/03/2014","650.55","644.42","650.57","644.03","","0.95%"
"07/02/2014","644.43","643.25","645.75","643.22","","0.24%"
"07/01/2014","642.90","638.13","643.04","638.13","","0.89%"
"06/30/2014","637.20","637.66","639.80","635.22","","-0.03%"
"06/27/2014","637.39","637.39","638.93","636.03","","0.04%"
"06/26/2014","637.15","638.08","639.30","634.39","","-0.02%"
"06/25/2014","637.30","641.89","641.89","635.42","","-1.03%"
"06/24/2014","643.95","645.93","647.24","642.82","","-0.22%"
"06/23/2014","645.34","648.50","648.69","644.00","","-0.50%"
"06/20/2014","648.58","648.36","650.53","648.01","","-0.02%"
"06/19/2014","648.68","647.64","650.36","647.64","","0.59%"
"06/18/2014","644.87","645.86","647.41","644.87","","-0.07%"
"06/17/2014","645.34","644.42","646.49","642.59","","0.26%"
"06/16/2014","643.65","645.81","646.66","643.02","","-0.45%"
"06/13/2014","646.54","648.89","648.89","642.46","","-0.22%"
"06/12/2014","647.95","647.94","649.98","646.93","","0.03%"
"06/11/2014","647.78","651.21","651.33","646.66","","-0.52%"
"06/10/2014","651.16","648.80","651.16","648.04","","0.32%"
"06/09/2014","649.09","647.19","649.09","647.19","","0.38%"
"06/06/2014","646.63","642.13","646.90","642.13","","0.67%"
"06/05/2014","642.33","640.10","647.16","638.40","","0.42%"
"06/04/2014","639.67","638.92","639.88","637.21","","0.05%"
"06/03/2014","639.34","642.30","642.30","638.33","","-0.46%"
"06/02/2014","642.29","641.57","643.14","640.67","","0.27%"
"05/30/2014","640.55","640.68","641.90","639.85","","-0.07%"
"05/29/2014","641.02","640.74","641.55","640.10","","0.07%"
"05/28/2014","640.55","640.27","640.91","639.06","","-0.03%"
"05/27/2014","640.72","639.64","641.29","639.12","","0.24%"
"05/26/2014","639.20","636.42","639.20","636.42","","0.57%"
"05/23/2014","635.55","634.45","635.89","632.34","","0.23%"
"05/22/2014","634.06","633.72","635.12","632.00","","0.21%"
"05/21/2014","632.72","627.67","632.99","625.77","","0.63%"
"05/20/2014","628.75","629.03","630.73","627.74","","-0.03%"
"05/19/2014","628.96","628.94","629.67","624.20","","-0.09%"
"05/16/2014","629.50","628.08","629.50","624.92","","0.19%"
"05/15/2014","628.28","633.76","636.10","627.30","","-0.89%"
"05/14/2014","633.89","634.56","634.83","632.48","","0.00%"
"05/13/2014","633.92","633.08","634.21","631.84","","0.29%"
"05/12/2014","632.09","628.32","632.49","628.32","","0.78%"
